                Call  Number of calls made  Percentage of total calls
                read                   618         12.5814332248
               write                   589         11.9910423453
        rt_sigaction                   460         9.36482084691
      rt_sigprocmask                   428         8.71335504886
                 brk                   417         8.48941368078
               fcntl                   336         6.84039087948
                stat                   335         6.82003257329
               ioctl                   326         6.63680781759
               close                   243         4.94706840391
                dup2                   143         2.91123778502
                open                   105         2.13762214984
              access                    97         1.97475570033
              getgid                    87         1.77117263844
             geteuid                    87         1.77117263844
             getegid                    87         1.77117263844
              getuid                    87         1.77117263844
           faccessat                    84         1.71009771987
              signal                    74         1.50651465798
               wait4                    58         1.18078175896
               fstat                    41        0.834690553746
                pipe                    38        0.773615635179
        rt_sigreturn                    29        0.590390879479
                mmap                    28         0.57003257329
             setpgid                    27        0.549674267101
               lseek                    24        0.488599348534
            getdents                    18        0.366449511401
            mprotect                    16        0.325732899023
              unlink                     6        0.122149837134
              munmap                     4       0.0814332247557
             connect                     2       0.0407166123779
           getrlimit                     2       0.0407166123779
              socket                     2       0.0407166123779
               lstat                     2       0.0407166123779
               uname                     1       0.0203583061889
          arch_prctl                     1       0.0203583061889
              getpid                     1       0.0203583061889
                 dup                     1       0.0203583061889
             getppid                     1       0.0203583061889
          exit_group                     1       0.0203583061889
             getpgrp                     1       0.0203583061889
             sysinfo                     1       0.0203583061889
+++ exited with 0 +++
                     1       0.0203583061889
              execve                     1       0.0203583061889
               chdir                     1       0.0203583061889
              statfs                     1       0.0203583061889
