                Call  Number of calls made  Percentage of total calls
                read                  2606         14.0963920593
      rt_sigprocmask                  1853         10.0232595878
                 brk                  1791         9.68788878671
               write                  1783         9.64461513496
               fcntl                  1401         7.57829826364
               close                  1168         6.31795315627
        rt_sigaction                  1147         6.20435982041
                stat                  1139         6.16108616866
               ioctl                   869         4.70060042192
                dup2                   606         3.27797912046
                open                   479         2.59100989885
              signal                   372         2.01222480662
           faccessat                   335         1.81208416725
              access                   314          1.6984908314
              getgid                   274         1.48212257262
             getegid                   274         1.48212257262
              getuid                   274         1.48212257262
             geteuid                   274         1.48212257262
               wait4                   264         1.42803050792
               fstat                   224         1.21166224915
                pipe                   212         1.14675177152
            getdents                   194         1.04938605507
        rt_sigreturn                   132        0.714015253962
             setpgid                   124        0.670741602207
                mmap                   112        0.605831124574
               lseek                    82        0.443554930492
            mprotect                    64        0.346189214042
              unlink                    22        0.119002542327
              munmap                    16       0.0865473035106
               lstat                    14       0.0757288905718
             connect                     8       0.0432736517553
           getrlimit                     8       0.0432736517553
              socket                     8       0.0432736517553
               chdir                     5       0.0270460323471
               uname                     4       0.0216368258776
          arch_prctl                     4       0.0216368258776
              getpid                     4       0.0216368258776
                 dup                     4       0.0216368258776
             getppid                     4       0.0216368258776
          exit_group                     4       0.0216368258776
             getpgrp                     4       0.0216368258776
             sysinfo                     4       0.0216368258776
              execve                     4       0.0216368258776
              statfs                     3       0.0162276194082
