                Call  Number of calls made  Percentage of total calls
            mprotect                189604         40.7286318819
             recvmsg                 69605         14.9517753958
                poll                 64300         13.8122140356
             madvise                 53529          11.498507078
               futex                 41162         8.84196507207
           getrusage                 14115         3.03202801108
                read                  8791         1.88838528129
              writev                  8377         1.79945438532
               write                  7300         1.56810517045
                mmap                  3536        0.759564367495
                stat                  1608        0.345412755354
              access                   940        0.201920391811
                open                   720         0.15466242777
               close                   449       0.0964492084291
               fstat                   374       0.0803385388697
               lseek                   174       0.0373767533779
              munmap                   145       0.0311472944816
               fcntl                   112       0.0240585998754
            getdents                    97       0.0208364659635
               lstat                    69       0.0148218159947
           getrandom                    67       0.0143921981398
               clone                    67       0.0143921981398
        rt_sigaction                    43      0.00923678388074
               uname                    32      0.00687388567869
             geteuid                    26      0.00558503211393
              getuid                    23      0.00494060533156
              getgid                    19      0.00408136962172
            recvfrom                    19      0.00408136962172
             getegid                    19      0.00408136962172
               mkdir                    16      0.00343694283934
           readahead                    13      0.00279251605697
              unlink                     9      0.00193328034713
              signal                     8      0.00171847141967
             connect                     8      0.00171847141967
              socket                     8      0.00171847141967
             fstatfs                     8      0.00171847141967
   inotify_add_watch                     7      0.00150366249221
               chmod                     7      0.00150366249221
              statfs                     7      0.00150366249221
      rt_sigprocmask                     6      0.00128885356475
             sysinfo                     6      0.00128885356475
          setsockopt                     6      0.00128885356475
               rmdir                     6      0.00128885356475
                pipe                     6      0.00128885356475
               umask                     4     0.000859235709836
               utime                     4     0.000859235709836
                 brk                     4     0.000859235709836
               wait4                     4     0.000859235709836
              rename                     4     0.000859235709836
           getresgid                     3     0.000644426782377
            eventfd2                     3     0.000644426782377
           getresuid                     3     0.000644426782377
         getsockname                     3     0.000644426782377
         getpeername                     3     0.000644426782377
            readlink                     3     0.000644426782377
         getpriority                     3     0.000644426782377
            quotactl                     3     0.000644426782377
         setpriority                     3     0.000644426782377
           getrlimit                     3     0.000644426782377
          arch_prctl                     2     0.000429617854918
              gettid                     2     0.000429617854918
              sendto                     2     0.000429617854918
         sigaltstack                     2     0.000429617854918
             symlink                     2     0.000429617854918
              execve                     2     0.000429617854918
           ftruncate                     2     0.000429617854918
               ioctl                     2     0.000429617854918
        clock_getres                     1     0.000214808927459
   sched_getaffinity                     1     0.000214808927459
              getpid                     1     0.000214808927459
             getppid                     1     0.000214808927459
             seccomp                     1     0.000214808927459
--- SIGINT {si_signo=SIGINT, si_code=SI_TKILL, si_pid=7990, si_uid=1002} ---
                     1     0.000214808927459
               fsync                     1     0.000214808927459
             unshare                     1     0.000214808927459
              getcwd                     1     0.000214808927459
            pwrite64                     1     0.000214808927459
+++ killed by SIGINT +++
                     1     0.000214808927459
            shutdown                     1     0.000214808927459
           faccessat                     1     0.000214808927459
--- SIGINT {si_signo=SIGINT, si_code=SI_KERNEL} ---
                     1     0.000214808927459
           fadvise64                     1     0.000214808927459
     set_robust_list                     1     0.000214808927459
       inotify_init1                     1     0.000214808927459
               prctl                     1     0.000214808927459
              tgkill                     1     0.000214808927459
     set_tid_address                     1     0.000214808927459
        rt_sigreturn                     1     0.000214808927459
