                Call  Number of calls made  Percentage of total calls
             recvmsg              27794644         19.3861759388
               ioctl              23542043         16.4200767442
              gettid              20314171         14.1687043395
                poll              11846121         8.26241868391
          epoll_wait              10613850         7.40293574143
               futex              10423001         7.26982260309
                read              10313927         7.19374579656
               write               7542926         5.26103124506
              writev               5728162         3.99527176307
           setitimer               3353105         2.33871977174
              sendto               2594022         1.80927544462
              select               2216316         1.54583350346
               fcntl               1960176         1.36718127446
               ppoll               1573462         1.09745644395
               close                544985        0.380115503332
             madvise                391496        0.273060174303
      rt_sigprocmask                354123        0.246993297772
             newstat                331961        0.231535771813
                open                284293        0.198288350668
            newfstat                213678        0.149035882678
                mmap                200701        0.139984699825
              access                152002           0.106018178
            recvfrom                125340         0.08742199728
             sendmsg                103602       0.0722602023473
            mprotect                 98379       0.0686172703878
           epoll_ctl                 88517       0.0617387341091
            newlstat                 66804       0.0465943761472
           ftruncate                 64263       0.0448220824255
       clock_gettime                 62790       0.0437946961003
               lseek                 50676       0.0353454374833
            pwrite64                 47151       0.0328868245871
   inotify_add_watch                 35767       0.0249467255203
                 brk                 33078       0.0230712049308
        rt_sigaction                 31394       0.0218966505713
              munmap                 26542         0.01851248326
            getdents                 23264       0.0162261476362
              waitid                 13544      0.00944665335217
          readlinkat                 13261      0.00924926684163
               mkdir                 11861       0.0082727964715
               wait4                 10597      0.00739118322304
               chdir                  9322      0.00650189770739
                 dup                  8584      0.00598715832657
          exit_group                  8484      0.00591741044299
              statfs                  7898       0.0055086878452
            readlink                  7675      0.00535315006482
          newfstatat                  7518       0.0052436458876
              socket                  6827      0.00476168801205
            pselect6                  6654      0.00464102417346
                dup2                  6549       0.0045677888957
              unlink                  5701      0.00397632684293
     set_robust_list                  5225      0.00364432691709
             pread64                  4946       0.0034497303219
           getrlimit                  4759       0.0033193017796
           getrandom                  4660      0.00325025137486
         getsockname                  4546      0.00317073878758
             geteuid                  4369      0.00304728503364
            eventfd2                  4362      0.00304240268179
                bind                  4246      0.00296149513684
     set_tid_address                  4005      0.00279340273741
                pipe                  3772      0.00263089016866
               umask                  3316      0.00231283981954
          getsockopt                  3251      0.00226750369521
                kcmp                  3140      0.00219008354443
            newuname                  2714      0.00189295756038
          setsockopt                  2576      0.00179670548104
              getuid                  2551      0.00177926851014
              getcwd                  2448      0.00170742819006
              openat                  2330      0.00162512568743
             connect                  2317      0.00161605846256
            unlinkat                  2078      0.00144936102081
           fdatasync                  1826      0.00127359635418
           fadvise64                  1813      0.00126452912932
           utimensat                  1719      0.00119896611875
         sched_yield                  1570      0.00109504177222
             getegid                  1541      0.00107481488598
              getgid                  1404     0.000979260285473
           fsetxattr                  1396     0.000973680454786
           fgetxattr                  1396     0.000973680454786
           nanosleep                  1214     0.000846739306669
              rename                  1188     0.000828604856939
               prctl                  1121     0.000781873774939
          socketpair                  1097      0.00076513428288
             fstatfs                  1039     0.000724680510403
                exit                  1028     0.000717008243209
               fsync                   991     0.000691201526285
     timerfd_settime                   987     0.000688411610941
              mremap                   808     0.000563562899332
         setpriority                   690     0.000481260396707
              getpid                   683     0.000476378044856
             getppid                   606     0.000422672174499
           getrusage                   605     0.000421974695663
           faccessat                   502     0.000350134375575
     perf_event_open                   436     0.000304100772412
          getdents64                   367     0.000255974732741
               pipe2                   281     0.000195991552862
              tgkill                   278     0.000193899116354
              accept                   223     0.000155537780385
               creat                   214     0.000149260470863
           setrlimit                   208     0.000145075597848
               rmdir                   206     0.000143680640176
             sysinfo                   192     0.000133915936475
               times                   171     0.000119268880923
                kill                   171     0.000119268880923
         getpeername                   145     0.000101134431192
              fchmod                   138     9.62520793413e-05
             accept4                   137     9.55546005055e-05
               chmod                   135     9.41596428339e-05
             symlink                   119      8.2999981461e-05
            shutdown                   115     8.02100661178e-05
          flistxattr                    96     6.69579682375e-05
              linkat                    91     6.34705740584e-05
              fchdir                    85     5.92857010436e-05
        epoll_create                    83      5.7890743372e-05
         sigaltstack                    79     5.51008280287e-05
               chown                    78     5.44033491929e-05
              shmctl                    73     5.09159550139e-05
               shmat                    73     5.09159550139e-05
             seccomp                    72     5.02184761781e-05
               shmdt                    69     4.81260396707e-05
           fallocate                    67     4.67310819991e-05
            sendmmsg                    60     4.18487301484e-05
             getpgrp                    59     4.11512513126e-05
               alarm                    58     4.04537724768e-05
         getpriority                    52      3.6268899462e-05
                link                    51     3.55714206261e-05
           setgroups                    47     3.27815052829e-05
   sched_getaffinity                    42     2.92941111039e-05
           getresuid                    42     2.92941111039e-05
           getresgid                    42     2.92941111039e-05
   name_to_handle_at                    38     2.65041957607e-05
              capset                    38     2.65041957607e-05
              shmget                    36      2.5109238089e-05
           setresgid                    34     2.37142804174e-05
       epoll_create1                    31       2.162184391e-05
     restart_syscall                    27     1.88319285668e-05
    inotify_rm_watch                    27     1.88319285668e-05
            getxattr                    25     1.74369708952e-05
          llistxattr                    24     1.67394920594e-05
           signalfd4                    23     1.60420132236e-05
      timerfd_create                    20     1.39495767161e-05
           setresuid                    18     1.25546190445e-05
       inotify_init1                    16     1.11596613729e-05
              setsid                    15     1.04621825371e-05
               flock                    15     1.04621825371e-05
               utime                    14      9.7647037013e-06
  sched_getscheduler                    14      9.7647037013e-06
      sched_getparam                    14      9.7647037013e-06
            renameat                    14      9.7647037013e-06
           lgetxattr                    14      9.7647037013e-06
               mknod                    13     9.06722486549e-06
               msync                    12     8.36974602968e-06
              lchown                    12     8.36974602968e-06
              listen                    11     7.67226719388e-06
        clock_getres                    11     7.67226719388e-06
               mlock                     9     6.27730952226e-06
             unshare                     8     5.57983068645e-06
              setgid                     8     5.57983068645e-06
