Tracing... Ctrl-C to end.
SYSCALL              COUNT
clock_getres             1
dup2                     1
ftruncate                1
getrlimit                1
inotify_init1            1
membarrier               1
set_tid_address          1
sysinfo                  1
timerfd_settime          1
chmod                    2
exit_group               2
getresgid                2
getresuid                2
inotify_rm_watch         2
kill                     2
pipe2                    2
tgkill                   2
accept4                  3
getpeername              3
setsockopt               3
shmget                   3
shutdown                 3
accept                   4
shmdt                    5
statfs                   5
wait4                    5
nanosleep                6
shmat                    6
shmctl                   6
fallocate                7
fsync                    7
getuid                   7
connect                  8
exit                     8
madvise                 10
rt_sigaction            10
prctl                   12
bind                    13
unlink                  13
getegid                 14
rename                  15
set_robust_list         17
fdatasync               18
geteuid                 18
getsockname             20
getsockopt              20
pselect6                21
socket                  21
fadvise64               26
newuname                35
pread64                 38
epoll_ctl               41
pwrite64                41
sendto                  56
brk                     57
newlstat                72
fstatfs                 87
eventfd2               117
recvfrom               120
inotify_add_watch      155
getdents               163
munmap                 169
waitid                 199
lseek                  274
access                 311
clock_gettime          341
mmap                   370
perf_event_open        437
newfstat               539
epoll_wait             801
fcntl                 1282
open                  1306
mprotect              1529
close                 1697
sendmsg               2714
newstat               5348
setitimer             5480
select                7502
futex                 7853
write                 8757
writev                9651
rt_sigprocmask       11271
read                 13598
poll                 20699
ioctl                25704
recvmsg              28642
