                Call  Number of calls made  Percentage of total calls
             recvmsg                 28642         18.1487536276
               ioctl                 25704         16.2871155382
                poll                 20699         13.1157409168
                read                 13598         8.61625416619
      rt_sigprocmask                 11271         7.14177090066
              writev                  9651          6.1152720222
               write                  8757          5.5487967152
               futex                  7853         4.97598499537
              select                  7502         4.75357690504
           setitimer                  5480         3.47235423082
             newstat                  5348         3.38871358147
             sendmsg                  2714         1.71970244205
               close                  1697         1.07528925725
            mprotect                  1529        0.968837521702
                open                  1306        0.827535515594
               fcntl                  1282        0.812328124802
          epoll_wait                   801         0.50754666768
            newfstat                   539        0.341532651535
     perf_event_open                   437         0.27690124067
                mmap                   370        0.234447274709
       clock_gettime                   341        0.216071677502
              access                   311        0.197062439012
               lseek                   274        0.173617711541
              waitid                   199        0.126094615316
              munmap                   169        0.107085376826
            getdents                   163        0.103283529128
   inotify_add_watch                   155       0.0982143988645
            recvfrom                   120       0.0760369539596
            eventfd2                   117       0.0741360301106
             fstatfs                    87       0.0551267916207
            newlstat                    72       0.0456221723758
                 brk                    57       0.0361175531308
              sendto                    56       0.0354839118478
            pwrite64                    41       0.0259792926029
           epoll_ctl                    41       0.0259792926029
             pread64                    38       0.0240783687539
            newuname                    35       0.0221774449049
           fadvise64                    26       0.0164746733579
              socket                    21       0.0133064669429
            pselect6                    21       0.0133064669429
          getsockopt                    20       0.0126728256599
         getsockname                    20       0.0126728256599
             geteuid                    18       0.0114055430939
           fdatasync                    18       0.0114055430939
     set_robust_list                    17       0.0107719018109
              rename                    15      0.00950461924495
             getegid                    14      0.00887097796196
              unlink                    13      0.00823733667896
                bind                    13      0.00823733667896
               prctl                    12      0.00760369539596
        rt_sigaction                    10      0.00633641282997
             madvise                    10      0.00633641282997
                exit                     8      0.00506913026397
             connect                     8      0.00506913026397
              getuid                     7      0.00443548898098
               fsync                     7      0.00443548898098
           fallocate                     7      0.00443548898098
              shmctl                     6      0.00380184769798
               shmat                     6      0.00380184769798
           nanosleep                     6      0.00380184769798
               wait4                     5      0.00316820641498
              statfs                     5      0.00316820641498
               shmdt                     5      0.00316820641498
              accept                     4      0.00253456513199
            shutdown                     3      0.00190092384899
              shmget                     3      0.00190092384899
          setsockopt                     3      0.00190092384899
         getpeername                     3      0.00190092384899
             accept4                     3      0.00190092384899
              tgkill                     2      0.00126728256599
               pipe2                     2      0.00126728256599
                kill                     2      0.00126728256599
    inotify_rm_watch                     2      0.00126728256599
           getresuid                     2      0.00126728256599
           getresgid                     2      0.00126728256599
          exit_group                     2      0.00126728256599
               chmod                     2      0.00126728256599
     timerfd_settime                     1     0.000633641282997
             sysinfo                     1     0.000633641282997
     set_tid_address                     1     0.000633641282997
          membarrier                     1     0.000633641282997
       inotify_init1                     1     0.000633641282997
           getrlimit                     1     0.000633641282997
           ftruncate                     1     0.000633641282997
                dup2                     1     0.000633641282997
        clock_getres                     1     0.000633641282997
