                Call  Number of calls made  Percentage of total calls
             recvmsg                 51276         25.0766589885
               ioctl                 25754         12.5950595911
                poll                 22080         10.7982804912
                read                 18329         8.96384434435
               futex                 14903           7.288350279
               write                 12659         6.19091633778
              gettid                 10574         5.17124175335
          epoll_wait                  9098         4.44940017704
              writev                  8921         4.36283787419
      rt_sigprocmask                  7050         3.44782053727
              select                  5564         2.72108843537
           setitimer                  5488         2.68392044093
               fcntl                  2541         1.24268255109
               close                  1654        0.808892931723
             newstat                  1494        0.730644522367
              sendto                  1204        0.588819280408
             sendmsg                   889        0.434767724487
                open                   821        0.401512150511
               lseek                   675        0.330110476973
             madvise                   451        0.220562703874
     perf_event_open                   439        0.214694073172
            newfstat                   396        0.193664813157
           epoll_ctl                   338        0.165299764766
   inotify_add_watch                   299        0.146226714985
       clock_gettime                   290        0.141825241959
            recvfrom                   227        0.111014930775
              munmap                   181       0.0885185130846
                mmap                    92         0.04499283538
            pwrite64                    83       0.0405913623537
                 dup                    82       0.0401023097952
              waitid                    70       0.0342336790935
              socket                    56       0.0273869432748
              unlink                    43       0.0210292600146
        rt_sigaction                    42       0.0205402074561
           ftruncate                    42       0.0205402074561
            pselect6                    40       0.0195621023391
          setsockopt                    34       0.0166277869883
                bind                    33       0.0161387344298
             pread64                    28       0.0136934716374
         getsockname                    27       0.0132044190789
          getsockopt                    25        0.012226313962
           utimensat                    18      0.00880294605261
             connect                    18      0.00880294605261
              access                    15      0.00733578837718
            getdents                    14       0.0068467358187
           nanosleep                    11      0.00537957814326
           fdatasync                    11      0.00537957814326
            newuname                    10      0.00489052558478
            newlstat                    10      0.00489052558478
            eventfd2                    10      0.00489052558478
               wait4                     8      0.00391242046783
     timerfd_settime                     7      0.00342336790935
               mkdir                     6      0.00293431535087
                kill                     6      0.00293431535087
            mprotect                     5      0.00244526279239
                 brk                     5      0.00244526279239
              rename                     4      0.00195621023391
              getcwd                     4      0.00195621023391
               creat                     4      0.00195621023391
     set_robust_list                     3      0.00146715767544
               ppoll                     3      0.00146715767544
               times                     2     0.000978105116957
              statfs                     2     0.000978105116957
             geteuid                     2     0.000978105116957
                exit                     2     0.000978105116957
             setpgid                     1     0.000489052558478
               prctl                     1     0.000489052558478
             getpgid                     1     0.000489052558478
          exit_group                     1     0.000489052558478
              accept                     1     0.000489052558478
